Date;day;month;year;ISO;Country;Status
17/2/2020;17;2;2020;ABW;Aruba;Fully open
17/2/2020;17;2;2020;AFG;Afghanistan;Fully open
17/2/2020;17;2;2020;AGO;Angola;Fully open
17/2/2020;17;2;2020;AIA;Anguilla;Fully open
17/2/2020;17;2;2020;ALB;Albania;Fully open
17/2/2020;17;2;2020;AND;Andorra;Fully open
17/2/2020;17;2;2020;ARE;United Arab Emirates;Fully open
17/2/2020;17;2;2020;ARG;Argentina;Fully open
17/2/2020;17;2;2020;ARM;Armenia;Fully open
17/2/2020;17;2;2020;ATG;Antigua and Barbuda;Fully open
17/2/2020;17;2;2020;AUS;Australia;Fully open
17/2/2020;17;2;2020;AUT;Austria;Fully open
17/2/2020;17;2;2020;AZE;Azerbaijan;Fully open
17/2/2020;17;2;2020;BDI;Burundi;Fully open
17/2/2020;17;2;2020;BEL;Belgium;Fully open
17/2/2020;17;2;2020;BEN;Benin;Fully open
17/2/2020;17;2;2020;BFA;Burkina Faso;Fully open
17/2/2020;17;2;2020;BGD;Bangladesh;Fully open
17/2/2020;17;2;2020;BGR;Bulgaria;Fully open
17/2/2020;17;2;2020;BHR;Bahrain;Fully open
17/2/2020;17;2;2020;BHS;Bahamas;Fully open
17/2/2020;17;2;2020;BIH;Bosnia and Herzegovina;Fully open
17/2/2020;17;2;2020;BLR;Belarus;Fully open
17/2/2020;17;2;2020;BLZ;Belize;Fully open
17/2/2020;17;2;2020;BMU;Bermuda;Fully open
17/2/2020;17;2;2020;BOL;Bolivia (Plurinational State of);Fully open
17/2/2020;17;2;2020;BRA;Brazil;Fully open
17/2/2020;17;2;2020;BRB;Barbados;Fully open
17/2/2020;17;2;2020;BRN;Brunei Darussalam;Fully open
17/2/2020;17;2;2020;BTN;Bhutan;Fully open
17/2/2020;17;2;2020;BWA;Botswana;Fully open
17/2/2020;17;2;2020;CAF;Central African republic;Fully open
17/2/2020;17;2;2020;CAN;Canada;Fully open
17/2/2020;17;2;2020;CHE;Switzerland;Fully open
17/2/2020;17;2;2020;CHL;Chile;Fully open
17/2/2020;17;2;2020;CHN;China;Partially open
17/2/2020;17;2;2020;CIV;Cote d'Ivoire;Fully open
17/2/2020;17;2;2020;CMR;Cameroon;Fully open
17/2/2020;17;2;2020;COD;Democratic Republic of the Congo;Fully open
17/2/2020;17;2;2020;COG;Congo;Fully open
17/2/2020;17;2;2020;COK;Cook Islands;Fully open
17/2/2020;17;2;2020;COL;Colombia;Fully open
17/2/2020;17;2;2020;COM;Comoros;Fully open
17/2/2020;17;2;2020;CPV;Cabo Verde;Fully open
17/2/2020;17;2;2020;CRI;Costa Rica;Fully open
17/2/2020;17;2;2020;CUB;Cuba;Fully open
17/2/2020;17;2;2020;CUW;Curaçao;Fully open
17/2/2020;17;2;2020;CYM;Cayman Islands;Fully open
17/2/2020;17;2;2020;CYP;Cyprus;Fully open
17/2/2020;17;2;2020;CZE;Czechia;Fully open
17/2/2020;17;2;2020;DEU;Germany;Fully open
17/2/2020;17;2;2020;DJI;Djibouti;Fully open
17/2/2020;17;2;2020;DMA;Dominica;Fully open
17/2/2020;17;2;2020;DNK;Denmark;Fully open
17/2/2020;17;2;2020;DOM;Dominican Republic;Fully open
17/2/2020;17;2;2020;DZA;Algeria;Fully open
17/2/2020;17;2;2020;ECU;Ecuador;Fully open
17/2/2020;17;2;2020;EGY;Egypt;Fully open
17/2/2020;17;2;2020;ERI;Eritrea;Fully open
17/2/2020;17;2;2020;ESP;Spain;Fully open
17/2/2020;17;2;2020;EST;Estonia;Fully open
17/2/2020;17;2;2020;ETH;Ethiopia;Fully open
17/2/2020;17;2;2020;FIN;Finland;Fully open
17/2/2020;17;2;2020;FJI;Fiji;Fully open
17/2/2020;17;2;2020;FRA;France;Fully open
17/2/2020;17;2;2020;FRO;Faroe Islands;Fully open
17/2/2020;17;2;2020;FSM;Micronesia (Federated States of);Fully open
17/2/2020;17;2;2020;GAB;Gabon;Fully open
17/2/2020;17;2;2020;GBR;United Kingdom of Great Britain and Northern Ireland;Fully open
17/2/2020;17;2;2020;GEO;Georgia;Fully open
17/2/2020;17;2;2020;GHA;Ghana;Fully open
17/2/2020;17;2;2020;GIB;Gibraltar;Fully open
17/2/2020;17;2;2020;GIN;Guinea;Fully open
17/2/2020;17;2;2020;GMB;Gambia;Fully open
17/2/2020;17;2;2020;GNB;Guinea-Bissau;Fully open
17/2/2020;17;2;2020;GNQ;Equatorial Guinea;Fully open
17/2/2020;17;2;2020;GRC;Greece;Fully open
17/2/2020;17;2;2020;GRD;Grenada;Fully open
17/2/2020;17;2;2020;GRL;Greenland;Fully open
17/2/2020;17;2;2020;GTM;Guatemala;Fully open
17/2/2020;17;2;2020;GUY;Guyana;Fully open
17/2/2020;17;2;2020;HND;Honduras;Fully open
17/2/2020;17;2;2020;HRV;Croatia;Fully open
17/2/2020;17;2;2020;HTI;Haiti;Fully open
17/2/2020;17;2;2020;HUN;Hungary;Fully open
17/2/2020;17;2;2020;IDN;Indonesia;Fully open
17/2/2020;17;2;2020;IND;India;Fully open
17/2/2020;17;2;2020;IRL;Ireland;Fully open
17/2/2020;17;2;2020;IRN;Iran (Islamic Republic of);Fully open
17/2/2020;17;2;2020;IRQ;Iraq;Fully open
17/2/2020;17;2;2020;ISL;Iceland;Fully open
17/2/2020;17;2;2020;ISR;Israel;Fully open
17/2/2020;17;2;2020;ITA;Italy;Fully open
17/2/2020;17;2;2020;JAM;Jamaica;Fully open
17/2/2020;17;2;2020;JOR;Jordan;Fully open
17/2/2020;17;2;2020;JPN;Japan;Fully open
17/2/2020;17;2;2020;KAZ;Kazakhstan;Fully open
17/2/2020;17;2;2020;KEN;Kenya;Fully open
17/2/2020;17;2;2020;KGZ;Kyrgyzstan;Fully open
17/2/2020;17;2;2020;KHM;Cambodia;Fully open
17/2/2020;17;2;2020;KIR;Kiribati;Fully open
17/2/2020;17;2;2020;KNA;Saint Kitts and Nevis;Fully open
17/2/2020;17;2;2020;KOR;Republic of Korea;Fully open
17/2/2020;17;2;2020;KWT;Kuwait;Fully open
17/2/2020;17;2;2020;LAO;Lao PDR;Fully open
17/2/2020;17;2;2020;LBN;Lebanon;Fully open
17/2/2020;17;2;2020;LBR;Liberia;Fully open
17/2/2020;17;2;2020;LBY;Libya;Fully open
17/2/2020;17;2;2020;LCA;Saint Lucia;Fully open
17/2/2020;17;2;2020;LIE;Liechtenstein;Fully open
17/2/2020;17;2;2020;LKA;Sri Lanka;Fully open
17/2/2020;17;2;2020;LSO;Lesotho;Fully open
17/2/2020;17;2;2020;LTU;Lithuania;Fully open
17/2/2020;17;2;2020;LUX;Luxembourg;Fully open
17/2/2020;17;2;2020;LVA;Latvia;Fully open
17/2/2020;17;2;2020;MAR;Morocco;Fully open
17/2/2020;17;2;2020;MCO;Monaco;Partially open
17/2/2020;17;2;2020;MDA;Republic of Moldova;Fully open
17/2/2020;17;2;2020;MDG;Madagascar;Fully open
17/2/2020;17;2;2020;MDV;Maldives;Fully open
17/2/2020;17;2;2020;MEX;Mexico;Fully open
17/2/2020;17;2;2020;MHL;Marshall Islands;Fully open
17/2/2020;17;2;2020;MKD;North Macedonia;Fully open
17/2/2020;17;2;2020;MLI;Mali;Fully open
17/2/2020;17;2;2020;MLT;Malta;Fully open
17/2/2020;17;2;2020;MMR;Myanmar;Fully open
17/2/2020;17;2;2020;MNE;Montenegro;Fully open
17/2/2020;17;2;2020;MNG;Mongolia;Closed due to COVID-19
17/2/2020;17;2;2020;MOZ;Mozambique;Fully open
17/2/2020;17;2;2020;MRT;Mauritania;Fully open
17/2/2020;17;2;2020;MSR;Montserrat;Fully open
17/2/2020;17;2;2020;MUS;Mauritius;Fully open
17/2/2020;17;2;2020;MWI;Malawi;Fully open
17/2/2020;17;2;2020;MYS;Malaysia;Fully open
17/2/2020;17;2;2020;NAM;Namibia;Fully open
17/2/2020;17;2;2020;NER;Niger;Fully open
17/2/2020;17;2;2020;NGA;Nigeria;Fully open
17/2/2020;17;2;2020;NIC;Nicaragua;Fully open
17/2/2020;17;2;2020;NIU;Niue;Fully open
17/2/2020;17;2;2020;NLD;Netherlands;Fully open
17/2/2020;17;2;2020;NOR;Norway;Fully open
17/2/2020;17;2;2020;NPL;Nepal;Fully open
17/2/2020;17;2;2020;NRU;Nauru;Fully open
17/2/2020;17;2;2020;NZL;New Zealand;Fully open
17/2/2020;17;2;2020;OMN;Oman;Fully open
17/2/2020;17;2;2020;PAK;Pakistan;Fully open
17/2/2020;17;2;2020;PAN;Panama;Fully open
17/2/2020;17;2;2020;PER;Peru;Fully open
17/2/2020;17;2;2020;PHL;Philippines;Fully open
17/2/2020;17;2;2020;PLW;Palau;Fully open
17/2/2020;17;2;2020;PNG;Papua New Guinea;Fully open
17/2/2020;17;2;2020;POL;Poland;Fully open
17/2/2020;17;2;2020;PRK;Democratic People's Republic of Korea;Fully open
17/2/2020;17;2;2020;PRT;Portugal;Fully open
17/2/2020;17;2;2020;PRY;Paraguay;Fully open
17/2/2020;17;2;2020;PSE;Palestine;Fully open
17/2/2020;17;2;2020;QAT;Qatar;Fully open
17/2/2020;17;2;2020;ROU;Romania;Fully open
17/2/2020;17;2;2020;RUS;Russian Federation;Fully open
17/2/2020;17;2;2020;RWA;Rwanda;Fully open
17/2/2020;17;2;2020;SAU;Saudi Arabia;Fully open
17/2/2020;17;2;2020;SDN;Sudan;Fully open
17/2/2020;17;2;2020;SEN;Senegal;Fully open
17/2/2020;17;2;2020;SGP;Singapore;Fully open
